[     144ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/0o.g_next_dist_12tw8g6._.js:2477
[  112494ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  114492ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  116493ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  118492ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  120494ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  122494ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  124500ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  126530ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  128493ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  130493ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  132493ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  134492ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  136492ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  138494ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
[  140493ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://localhost:3000/api/db/pg-stats?connectionId=55997454-ef35-459a-b892-5d4bce71fe2e:0
